R957308,R617886
R964249,R178231
R429457,R347233
R154102,R564177
R736862,R931706
R699627,R727960
R421416,R744278
R816494,R790316
R261272,R300922
R237585,R312267
R895554,R842173
R723228,R667396
R415039,R198998
R102668,R786899
R991255,R636832
R951116,R806362
R960260,R846538
R214310,R866927
R126410,R161748
R135420,R934548
R663497,R535777
R911496,R814109
R881719,R748904
R254890,R159940
R201130,R899738
R833459,R271510
R556615,R236129
R721004,R247834
R907192,R148863
R652001,R162206
R317905,R935724
R623731,R152012
R228443,R495044
R538051,R388504
R740433,R907106
R284821,R921544
R373583,R120184
R638394,R614530
R687885,R786429
R175078,R917824
R306211,R993493
R829634,R966255
R570470,R854984
R857216,R744210
R969673,R961185
R286456,R430208
R196017,R540411
R438596,R907736
R412281,R905303
R894342,R967375
R938442,R655144
R783860,R290587
R381957,R156303
R283579,R951702
R646957,R429949
R264923,R470393
R266954,R445316
R159801,R229320
R853537,R764638
R675659,R616246
R858846,R564376
R488337,R197628
R704121,R305870
R890213,R947830
R119060,R282339
R121404,R857912
R516939,R828250
R984196,R255284
R668956,R843483
R972322,R736419
R295449,R851605
R944928,R961002
R889522,R285637
R453630,R458933
R682801,R788127
R553408,R976803
R545193,R382354
R975700,R901235
R859775,R725800
R688909,R608518
R283011,R172225
R921177,R906274
R165004,R651893
R937390,R114775
R691088,R882938
R844496,R605097
R481453,R957362
R703852,R572989
R593449,R411662
R118533,R351816
R694472,R821533
R468384,R767889
R615624,R825478
R596867,R386608
R845874,R269440
R326588,R205524
R627838,R912936
R251376,R956691
R794032,R322366
R354450,R472477
R861711,R239195
R345364,R561832
R715288,R971332
R229488,R755726
R800914,R653186
R162691,R787238
R912367,R827547
R433559,R997095
R137258,R523879
R895798,R389879
R403967,R852874
R551752,R979778
R824069,R553329
R126419,R661472
R403656,R226764
R399412,R898745
R190549,R641780
R926524,R628081
R616290,R874107
R939046,R964244
R636631,R446494
R575267,R371275
R704148,R847642
R942865,R295628
R104830,R404763
R791185,R825334
R881849,R376029
R761387,R813956
R547141,R732654
R529514,R313313
R895587,R141749
R575547,R805786
R326926,R421265
R635027,R713875
R697449,R663645
R345949,R181821
R281178,R435671
R114198,R226080
R792808,R938505
R473547,R402980
R181442,R362088
R748967,R495141
R324739,R658193
R368788,R738662
R599712,R432706
R128997,R584220
R728662,R966697
R244021,R260086
R939628,R104215
R129147,R635414
R653199,R227376
R929974,R582860
R847144,R460270
R549775,R941566
R764046,R301500
R337440,R567272
R189017,R711735
R690471,R510155
R954348,R306128
R585777,R153634
R462556,R599438
R358133,R984850
R906887,R973980
R215286,R702857
R439189,R517614
R792161,R613641
R901246,R589730
R354030,R827308
R413648,R292443
R495060,R936147
R944223,R571999
R747447,R335679
R486515,R616163
R692927,R747926
R283104,R564499
R397005,R799221
R538421,R948897
R660164,R193662
R486694,R148203
R148289,R307771
R950215,R942573
R411785,R297287
R376763,R501607
R716999,R595831
R756027,R694647
R511136,R789084
R952778,R254015
R679669,R503830
R120488,R896640
R135598,R125545
R859758,R866253
R901094,R472037
R797445,R862597
R764038,R182797
R370007,R641499
R893227,R237789
R140167,R198637
R618354,R392516
R416774,R461653
R572811,R133190
R452385,R668594
R172990,R670205
R670271,R375994
R630060,R949953
R645229,R542644
R444757,R510606
R940438,R296730
R939317,R858430
R321751,R872654
R232811,R576131
R607798,R497407
R690631,R666463
R358039,R655494
R762351,R139755
R493709,R127214
R416743,R564101
R197445,R167952
R185460,R892129
R561419,R563255
R542726,R477928
R869653,R190874
R584655,R125066
R697234,R485608
R620803,R335120
R268817,R551629
R872296,R855978
R639698,R628201
R924617,R179993
R145091,R255510
R244664,R610459
R845508,R115855
R979267,R288772
R784667,R495057
R645618,R506513
R983825,R837829
R410136,R345045
R497859,R161333
R567689,R466811
R401479,R369298
R646800,R171243
R222006,R685780
R615665,R756674
R793773,R515655
R654386,R940390
R166672,R424539
R443618,R477186
R350461,R821890
R272432,R233545
R681563,R619235
R139923,R814675
R805799,R563073
R651132,R665455
R654888,R222001
R179734,R548440
R113651,R565014
R866993,R412201
R328750,R641652
R165789,R520622
R194489,R933892
R107316,R697684
R337195,R352569
R944333,R976628
R180043,R248381
R376084,R214633
R360632,R470444
R855868,R669850
R299976,R709418
R114018,R137523
R671051,R627739
R463489,R112322
R533001,R633678
R357870,R483201
R457433,R298715
R165507,R335487
R429684,R499023
R934519,R970453
R559211,R599032
R447933,R324699
R922379,R883782
R519962,R878336
R160660,R330023
R218674,R395802
R208334,R738759
R960398,R339867
R808545,R145676
R174460,R897691
R925885,R937318
R491822,R641112
R727872,R382137
R870853,R723137
R418891,R408635
R281483,R448121
R573882,R141409
R844497,R434664
R885368,R465052
R326203,R803007
R283921,R973628
R734482,R446296
R282141,R121765
R398666,R407779
R445634,R202452
R822201,R534755
R933260,R549232
R413368,R865189
R545257,R373534
R807692,R657311
R778175,R316854
R677918,R155463
R980595,R300680
R724568,R322630
R672357,R733301
R782263,R815298
R302667,R553628
R132069,R752455
R285672,R285594
R335955,R155974
R660881,R200315
R325992,R903202
R632064,R795244
R452667,R531055
R998432,R652797
R259246,R948275
R945227,R630930
R802900,R390951
R850430,R378111
R567841,R402517
R233395,R228390
R551876,R544283
R724699,R819463
R183239,R910881
R404375,R850313
R690103,R208496
R141940,R924427
R931408,R415477
R665607,R838975
R264601,R328224
R383287,R991978
R821988,R907046
R218255,R142276
R243774,R471115
R890734,R732235
R964008,R132958
R159397,R943920
R534766,R609805
R310669,R385855
R223582,R915351
R157365,R151365
R984963,R238870
R462381,R479312
R705827,R506064
R272317,R945059
R187034,R905247
R763503,R855084
R750197,R672816
R727571,R351931
R124598,R657025
R760280,R787836
R512921,R746095
R814606,R175090
R304408,R502307
R725476,R248583
R166180,R469424
R221136,R640082
R501490,R767244
R638099,R130414
R932509,R388299
R411565,R511028
R737926,R105105
R578336,R859107
R428414,R647751
R419533,R196752
R300282,R784708
R482818,R316735
R153882,R581901
R653547,R283980
R712466,R501564
R369205,R249252
R889173,R836452
R390972,R698882
R507736,R385473
R574181,R767746
R416230,R260163
R589358,R875260
R282016,R283781
R967069,R295894
R771392,R340057
R346183,R556408
R428990,R449867
R215688,R389256
R403822,R287041
R637941,R777032
R775570,R909979
R967252,R867963
R522148,R810113
R871498,R967990
R740623,R603816
R689578,R712808
R889404,R920417
R965303,R595435
R971000,R593486
R515398,R411436
R605313,R261666
R545372,R779956
R856272,R792146
R910970,R312189
R972711,R983847
R783217,R922125
R716429,R550952
R125399,R871903
R812609,R816655
R819099,R412824
R424648,R364288
R774257,R532233
R768887,R794962
R705372,R690565
R229103,R876225
R457231,R153821
R745404,R117633
R883248,R749745
R258081,R750815
R703206,R877988
R739045,R967973
R336623,R494694
R451753,R662948
R104913,R640342
R798343,R680679
R914951,R213223
R746538,R331148
R742868,R737777
R819265,R265137
R789160,R377250
R943103,R957011
R907043,R131047
R286767,R806607
R702661,R619417
R994333,R269347
R908112,R798480
R667617,R937427
R278056,R350751
R622708,R828234
R676650,R247832
R462726,R650953
R217338,R681395
R907761,R265405
R764180,R583108
R935863,R645436
R520482,R899950
R447962,R443130
R147044,R254773
R982049,R509344
R224256,R886645
R710970,R791854
R662764,R504469
R789817,R794422
R561899,R740502
R799475,R748023
R797954,R917370
R944215,R912848
R729168,R229951
R945520,R615661
R373628,R323339
R657832,R519850
R335925,R177747
R241914,R228967
R720437,R669764
R234543,R214249
R380917,R579893
R440343,R881270
R946045,R849441
R421911,R292676
R934002,R556980
R598982,R357334
R737597,R901724
R790625,R635866
R698827,R938701
R975839,R619893
R250631,R590931
R907877,R677776
R501165,R119948
R880836,R332697
R435800,R278266
R945004,R655179
R877991,R161426
R968020,R868204
R608117,R625147
R866960,R165225
R220474,R429763
R491664,R919654
R252624,R945746
R160792,R968083
R508065,R361009
R391035,R245800
R339410,R180676
R941194,R429291
R404108,R260780
R540787,R381336
R406951,R806548
R236775,R989079
R867676,R787199
R151169,R860010
R166122,R131901
R458722,R218293
R272828,R685176
R876401,R681036
R105239,R531519
R694886,R501544
R305289,R496057
R771068,R263117
R771562,R503405
R613657,R283718
R167366,R789928
R296057,R217245
R476083,R831511
R757533,R949441
R780741,R180363
R336042,R944872
R550682,R225734
R507289,R804166
R572203,R996312
R284638,R229150
R399649,R422433
R249698,R122967
R998861,R287998
R482677,R385652
R289363,R823256
R146389,R341361
R421579,R662419
R456033,R915716
R841274,R280762
R298403,R896874
R518139,R387029
R476525,R606025
R427924,R424573
R318513,R951634
R900555,R557958
R795074,R512440
R249237,R444198
R821679,R604165
R801785,R355181
R990180,R682710
R448372,R784158
R851130,R481945
R327526,R936813
R770447,R562189
R438782,R824190
R759248,R643873
R464697,R804014
R554187,R617123
R470397,R173538
R645099,R990776
R356998,R914208
R995271,R851639
R457346,R652711
R448755,R978138
R272204,R204790
R496984,R497879
R235207,R829952
R640670,R524554
R421111,R544245
R726779,R989638
R749262,R744612
R589215,R467557
R322874,R792820
R835373,R531913
R445837,R939831
R437140,R261775
R705344,R382861
R361621,R733138
R803234,R127867
R373311,R375554
R341006,R937330
R894972,R897946
R655122,R772314
R868413,R146632
R385437,R387097
R610920,R296719
R182131,R628730
R633920,R854901
R397347,R602553
R848348,R234217
R146027,R972671
R277610,R474077
R547431,R216355
R147804,R171528
R779020,R718183
R591349,R881578
R486706,R548005
R443144,R602562
R577981,R391127
R242183,R210629
R535086,R233461
R175825,R961900
R493877,R610572
R885003,R823941
R755088,R983713
R683753,R748268
R822564,R461876
R287724,R455591
R471024,R777430
R434617,R682024
R219931,R491878
R770749,R517624
R542511,R128508
R222965,R446528
R405847,R980329
R658525,R696574
R902296,R649572
R177542,R912957
R376519,R138123
R752531,R102180
R490971,R748311
R746428,R345935
R971441,R653069
R821820,R877033
R156456,R331261
R837894,R672231
R594579,R579520
R135486,R316747
R360611,R390255
R950703,R554719
R315803,R555319
R363870,R348304
R588962,R724960
R469223,R559295
R197129,R564736
R685786,R331254
R732673,R404135
R292131,R131974
R339317,R186458
R823761,R123185
R713574,R416890
R596716,R384891
R653024,R844271
R878859,R658006
R320986,R363054
R314949,R712834
R299132,R916036
R460747,R457321
R960490,R114307
R486274,R423209
R571483,R220524
R884270,R354724
R605154,R627647
R253278,R726395
R781656,R493029
R136582,R302472
R760998,R844636
R454429,R918810
R474500,R454647
R889056,R821846
R132900,R715789
R977855,R765599
R803587,R290460
R595516,R197223
R802107,R596712
R820894,R562857
R118773,R721762
R437530,R711791
R204989,R401159
R457174,R609545
R724982,R321324
R853567,R749670
R510852,R112532
R383841,R290091
R511075,R394559
R280599,R625987
R668716,R169408
R270816,R744826
R848666,R589579
R365803,R154432
R273021,R416162
R824431,R942838
R289691,R988866
R133376,R877599
R274771,R578872
R246682,R876017
R755048,R800373
R882930,R304675
R125106,R473837
R640282,R365209
R457057,R187765
R556284,R311795
R478517,R728460
R676679,R892770
R904013,R202810
R935832,R501528
R310986,R782022
R172148,R571034
R515625,R205558
R700481,R239031
R539614,R521294
R857374,R814247
R258702,R791361
R409180,R411528
R314918,R350653
R245051,R223114
R792463,R274740
R456029,R380044
R857956,R454049
R132209,R810149
R428383,R157888
R938980,R407383
R646254,R849580
R705058,R737418
R573494,R954479
R717022,R497341
R857617,R720743
R341981,R246878
R827238,R779038
R358408,R602823
R577616,R660121
R377700,R865747
R327698,R610080
R287372,R557656
R973898,R697233
R951868,R206849
R953996,R620227
R132106,R124357
R915475,R306350
R172109,R267713
R197703,R904739
R266381,R974799
R976501,R281186
R509789,R385375
R178558,R588608
R387319,R726989
R111276,R697968
R374738,R493546
R784001,R984559
R201344,R654956
R795187,R814565
R219407,R657291
R813210,R473686
R351610,R758771
R418276,R505967
R515376,R933605
R249266,R764914
R363654,R387043
R316301,R365040
R739314,R638002
R630465,R295807
R163102,R263296
R168773,R289056
R170880,R725732
R372575,R131146
R183535,R215531
R612145,R493733
R504189,R481023
R792804,R805690
R931462,R210926
R123304,R470590
R211784,R363926
R358856,R194491
R556188,R415315
R217066,R193858
R100936,R414248
R833839,R687049
R343641,R155655
R755082,R186475
R450444,R786478
R322576,R831553
R540418,R175996
R811291,R837606
R722772,R645953
R164458,R118262
R190436,R489126
R280306,R205143
R412294,R422687
R898578,R439560
R192767,R378939
R846359,R140671
R134875,R622376
R691320,R987754
R173288,R440037
R221587,R592804
R772887,R492337
R937303,R193185
R719126,R102969
R957430,R107535
R538557,R121809
R434763,R732530
R929013,R203605
R728354,R631827
R626183,R104231
R912632,R351286
R944530,R223166
R625697,R398017
R793315,R493702
R998059,R908141
R337297,R350587
R104833,R144764
R734648,R396963
R272341,R419792
R513808,R417828
R529804,R413659
R771618,R613905
R515756,R469387
R749876,R600778
R560931,R295002
R853771,R884487
R615173,R192106
R352438,R736019
R700209,R218968
R839047,R345375
R299961,R707414
R645080,R178171
R432031,R174506
R560400,R542398
R415666,R189312
R129109,R902779
R342217,R770752
R953596,R871851
R651855,R252242
R387991,R934775
R129708,R266694
R385454,R673051
R304717,R436341
R234238,R252173
R103082,R633838
R485005,R816974
R192468,R359107
R377635,R108479
R154382,R532870
R416383,R894366
R225322,R866551
R278591,R727752
R621759,R439700
R377485,R535452
R744668,R392996
R570159,R236506
R935520,R890974
R241177,R691892
R806839,R710635
R685227,R467111
R594172,R200121
R252574,R687892
R794345,R150381
R308077,R674212
R555803,R858558
R213731,R831851
R316007,R275450
R328966,R173258
R946322,R964899
R681874,R540497
R225136,R954749
R438807,R926834
R341408,R953826
R149014,R438618
R765325,R225328
R360938,R448651
R523516,R153390
R375878,R704724
R412396,R680946
R977485,R324480
R399717,R307915
R483241,R506382
R331067,R768714
R992022,R360762
R451188,R768547
R451495,R866875
R583880,R730135
R583888,R498891
R577677,R789271
R954032,R246916
R471443,R183092
R400527,R109577
R797850,R703841
R324254,R832305
R348747,R585701
R838989,R296706
R634221,R224457
R919720,R387022
R657034,R374706
R124171,R877022
R664824,R766283
R909141,R893519
R286281,R216895
R412271,R906394
R369229,R549922
R466871,R910478
R309970,R272008
R328025,R772294
R762942,R398775
R994582,R339838
R438554,R315946
R191293,R214557
R872895,R227557
R550440,R959447
R572536,R454260
R986725,R445515
R323749,R775909
R908333,R827106
R541439,R972450
R754389,R895997
R787419,R221541
R573153,R458852
R371626,R380909
R329002,R615442
R909339,R505581
R339004,R186345
R432412,R506302
R731728,R917555
R908866,R652054
R681668,R317463
R653198,R589284
R783276,R863047
R342353,R558393
R826959,R990096
R699080,R993281
R512291,R432913
R273939,R950138
R897167,R966827
R940223,R518119
R733177,R763558
R590598,R126997
R109086,R153145
R667456,R874853
R845139,R496347
R942830,R315536
R533949,R812148
R817447,R805993
R800605,R582233
R135123,R810021
R233590,R528125
R900728,R616344
R623172,R316475
R145895,R382834
R950629,R103135
R520758,R126137
R646556,R912733
R478206,R204781
R349815,R538950
R744448,R264831
R878338,R429350
R229761,R561439
R257446,R450345
R794562,R843403
R161950,R307394
R223786,R228659
R589309,R795594
R162514,R268490
R690116,R975046
R639922,R211875
R414848,R121293
R122943,R534192
R450098,R392801
R274157,R181859
R818647,R209868
R767756,R779811
R165373,R991426
R784848,R972102
R317456,R896391
R650061,R536187
R925678,R125372
R194336,R978382
R558052,R166105
R258303,R420127
R242802,R108335
R617270,R478469
R465032,R143114
R336510,R723636
R445678,R443451
R872861,R852632
R105182,R262017
R575090,R405741
R901469,R661707
R993707,R716434
R349371,R401061
R827681,R149232
R327933,R939536
R828300,R972303
R551146,R836890
R428079,R824037
R361925,R165822
R239342,R579647
R749928,R509722
R795668,R759994
R492890,R437099
R463431,R456143
R307184,R120064
R591957,R345178
R359384,R275600
R359563,R988680
R437010,R647278
R158301,R784443
R472756,R698466
R660362,R399957
R101867,R796825
R225435,R581392
R130641,R503524
R220823,R328476
R283645,R120783
R533191,R682668
R986241,R116942
R360364,R574374
R309439,R838390
R669807,R176764
R780421,R772524
R723862,R381258
R804530,R680478
R183392,R720797
R780012,R940412
R475877,R513860
R672203,R591415
R950160,R936024
R682387,R873281
R988035,R787307
R497394,R668838
R600469,R761854
R936300,R821525
R692663,R458495
R883181,R677014
R802164,R661700
R467752,R274181
R754700,R751536
R146482,R386939
R576847,R437032
R585483,R188867
R933058,R891077
R134481,R461706
R833781,R616972
R782762,R538980
R938903,R298168
R364431,R242278
R513859,R906693
R917715,R189552
R376582,R683777
R115346,R208757
R414607,R555176
R874079,R200582
R443173,R669673
R747623,R232018
R138110,R887613
R671534,R815621
R608866,R576562
R363376,R747546
R396383,R921141
R972401,R428709
R811266,R637887
R952236,R724916
R936084,R556546
R661592,R706149
R621136,R581126
R262347,R918073
R127043,R813536
R762738,R145011
R503617,R607592
R437602,R945881
R132290,R939067
R398310,R226239
R836913,R228128
R662854,R981789
R737401,R459970
R612890,R668572
R985796,R416621
R242014,R150681
R396291,R507989
R383521,R131257
R388361,R951664
R351419,R811189
R326603,R793515
R126858,R748152
R340043,R429894
R359822,R849277
R257879,R740889
R659154,R916224
R528755,R674003
R152668,R525077
R793928,R341819
R281086,R408532
R502295,R646784
R239308,R715690
R768794,R337121
R630904,R266000
R611462,R285710
R312307,R667985
R484383,R818895
R957773,R284167
R920744,R514852
R454514,R791267
R617202,R984899
R326152,R244527
R466603,R936538
R141023,R667008
R588819,R776982
R544809,R882274
R928107,R693707
R302663,R595473
R578723,R956718
R906563,R648280
R717571,R696685
R632800,R770785
R159738,R217006
R295170,R974387
R398805,R321195
R673468,R525500
R516975,R410676
R106106,R318369
R112592,R152866
R477009,R832724
R745090,R903138
R134804,R303945
R438142,R409239
R863284,R865331
R270041,R605244
R335558,R202613
R936490,R927078
R417385,R737826
R254941,R152608
R667700,R868347
R168628,R243263
R711805,R698453
R326842,R601491
R674709,R583374
R771692,R236638
R438891,R425362
R583102,R584347
R793013,R961063
R267284,R301364
R724647,R522564
R902742,R965118
R117054,R714097
R788264,R647643
R391203,R440291
R934014,R228097
R323559,R500122
R823565,R254629
R794050,R279355
R617762,R868015
R594690,R113664
R711214,R812073
R909362,R305766
R438901,R611130
R855245,R351612
R635533,R835398
R905960,R368294
R616343,R465676
R472150,R626385
R846904,R944293
R783135,R526523
R485855,R646152
R363282,R196240
R761544,R806257
R683289,R813403
R717457,R823950
R944395,R885985
R924948,R811206
R647703,R990559
R703727,R351684
R967338,R397060
R964279,R863842
R370555,R769715
R668867,R734718
R501539,R110192
R694131,R115667
R498836,R854353
R527970,R517829
R133430,R582428
R174674,R794273
R486386,R547187
R342493,R907782
R161479,R602986
R431298,R473795
R910779,R351643
R710872,R609972
R732524,R456020
R689647,R111950
R440667,R506025
R328852,R257187
R311643,R336934
R942031,R764405
R663884,R635328
R654891,R594070
R948722,R883077
R653479,R314808
R646464,R419453
R325300,R371731
R389836,R311170
R118824,R634970
R114536,R242963
R677228,R318798
R858181,R291374
R114727,R470984
R229130,R483023
R485979,R434469
R815539,R419341
R541289,R959389
R425728,R852829
R190505,R913510
R618397,R274588
R416177,R778406
R303475,R288881
R997601,R235761
R715107,R943972
R531648,R415044
R523511,R284341
R239365,R982810
R141678,R894180
R772629,R875501
R858970,R824605
R665035,R480842
R772055,R467837
R851834,R121889
R562193,R490368
R316318,R818530
R335427,R511960
R609092,R440351
R172848,R916832
R513197,R489270
R843497,R480434
R664870,R534905
R287963,R606923
R656696,R395753
R879920,R325106
R708718,R555547
R813933,R805053
R836895,R639712
R964367,R675049
R752273,R418514
R526375,R452791
R177239,R863982
R874401,R956871
R568933,R987801
R173840,R430950
R245089,R205133
R623252,R667781
R653119,R659200
R984026,R542730
R236106,R938497
R241781,R168307
R490194,R612158
R807412,R121603
R317674,R589648
R945322,R934216
R318838,R835717
R182763,R182728
R706232,R215349
R226356,R908689
R734075,R561929
R322500,R262102
R817192,R872417
R194278,R617768
R452246,R932199
R223751,R650097
R477538,R817953
R234735,R842436
R379486,R140998
R152997,R328052
R911921,R499358
R903568,R978113
R508370,R784271
R987142,R365035
R443304,R301965
R749277,R230750
R206462,R847072
R267231,R919939
R963917,R913883
R203608,R182884
R464324,R249290
R262767,R609529
R839809,R227431
R585772,R245297
R344333,R540455
R903865,R818002
R421692,R928984
R262703,R276395
R801794,R605670
R908754,R201056
R473043,R646006
R867086,R902484
R627709,R389302
R157377,R713632
R981709,R395519
R628221,R678929
R938600,R494595
R327834,R329984
R380985,R429740
R267170,R204723
R393899,R445826
R603626,R390773
R810004,R905790
R431650,R877376
R920152,R745727
R692157,R625989
R147147,R593549
R242991,R585314
R794625,R851410
R549865,R558313
R413746,R971720
R841515,R927677
R375311,R735330
R323594,R613131
R133129,R156074
R883308,R975803
R231755,R990078
R525318,R448912
R315739,R273581
R667068,R158868
R247836,R867415
R661169,R223734
R841177,R394963
R467073,R131297
R737571,R324836
R423125,R731484
R692544,R185714
R102250,R353965
R659312,R879097
R727080,R273949
R748386,R892845
R805441,R241962
R814418,R697742
R988451,R365794
R254575,R720010
R935157,R830484
R530044,R729032
R992633,R910263
R332063,R727707
R430285,R531742
R197868,R414845
R364903,R920159
R192416,R561573
R821349,R195864
R492769,R586837
R704313,R368390
R293763,R737740
R868408,R558327
R472263,R406680
R859901,R392080
R508536,R882576
R314890,R685467
R176324,R143190
R341452,R509515
R210393,R265486
R415421,R107576
R697022,R859631
R540437,R930963
R352825,R512971
R228744,R138406
R203395,R894895
R404016,R768509
R918290,R492296
R625334,R563841
R109882,R219511
R685923,R688603
R718878,R205578
R856157,R705128
R916823,R298885
R838438,R137124
R502645,R992203
R713101,R378145
R982841,R716986
R231023,R674043
R422961,R260137
R161587,R264506
R622667,R723847
R166119,R243391
R362634,R776977
R408692,R724087
R686964,R416996
R340241,R204373
R163526,R397452
R280438,R127779
R852595,R546812
R139242,R612058
R209968,R613762
R535837,R517886
R869288,R658039
R525545,R789606
R172602,R766350
R853125,R204033
R670854,R915909
R283564,R416025
R335643,R597088
R852158,R922181
R954384,R142720
R745049,R686201
R358314,R488549
R238321,R501870
R824624,R591749
R344015,R155478
R705266,R680374
R169325,R107822
R611573,R573098
R865994,R509400
R363524,R130389
R532609,R296370
R641612,R616535
R899959,R181617
R205935,R567277
R503883,R559060
R622436,R564483
R157961,R198737
R458283,R593145
R198846,R712368
R349698,R737344
R346370,R237670
R149724,R789718
R637328,R854799
R224370,R670152
R264430,R178515
R249488,R353648
R475952,R727289
R561751,R179010
R804774,R257477
R284571,R176991
R322877,R971973
R650168,R234644
R616978,R382921
R576826,R783311
R962753,R404479
R265158,R629385
R429968,R385713
R727874,R957624
R178988,R402705
R458882,R881399
R389068,R281070
R600273,R816766
R158145,R575103
R489113,R853046
R477849,R545492
R993472,R382714
R513025,R855105
R564354,R894179
R293762,R365157
R755987,R424098
R341537,R365719
R768919,R205754
R997654,R948351
R285190,R241941
R538731,R840650
R130400,R205438
R236471,R790197
R444570,R651719
R390918,R946508
R983075,R390415
R685875,R580504
R826247,R708989
R178052,R634982
R100526,R114200
R485450,R356841
R770494,R944056
R283493,R240379
R341762,R510678
R588104,R929106
R230604,R640849
R886822,R331079
R972535,R738471
R244125,R127242
R605163,R161854
R592762,R906441
R337763,R276428
R649223,R411772
R516241,R371437
R137602,R994681
R978220,R785738
R142992,R242320
R523941,R857978
R951077,R235419
R244265,R195624
R958520,R319018
R784623,R484581
R253911,R847847
R843381,R473646
R892064,R814790
R731265,R533342
R687408,R902892
R712517,R402608
R405662,R311356
R964541,R165860
R465009,R533235
R375035,R293832
R824271,R193287
R910590,R108964
R764255,R595990
R622729,R272121
R354432,R770860
R449138,R990052
R250652,R111746
R873633,R309668
R581834,R943413
R379886,R723508
R709091,R520888
R958377,R639763
R837267,R768040
R775118,R430187
R647144,R150924
R420554,R467224
R901441,R526166
R553850,R655947
R152524,R625881
R729242,R617163
R330382,R573260
R436397,R195829
R638913,R355156
R510754,R298632
R457258,R970014
R628698,R382649
R532573,R917586
R271526,R900928
R303229,R196989
R144960,R958064
R171577,R130436
R443220,R144453
R170340,R718311
R743922,R566360
R924092,R486074
R256558,R407004
R292190,R518021
R289367,R609820
R298953,R152366
R232765,R699248
R704168,R564953
R712924,R409974
R205704,R435796
R632430,R694535
R284287,R805947
R406338,R486179
R239607,R749681
R779751,R330566
R929480,R509560
R259955,R575831
R823235,R408595
R870415,R430426
R394835,R845629
R962895,R288146
R946366,R213300
R365421,R630174
R927052,R151511
R882986,R561354
R743633,R166930
R458067,R795883
R977482,R739537
R817219,R967950
R914108,R387393
R937533,R519185
R612819,R377318
R691465,R413840
R885468,R941374
R296281,R915483
R258191,R698177
R232816,R301775
R697421,R539475
R606105,R410784
R628370,R864340
R169166,R807683
R171309,R520081
R283732,R150863
R429403,R354659
R794610,R820200
R825057,R923346
R785584,R817273
R103458,R139410
R386736,R890351
R942385,R713474
R715842,R899214
R818745,R126700
R223935,R734301
R663491,R699483
R763444,R311310
R503227,R888455
R432086,R751175
R470490,R741078
R876881,R585110
R193642,R289259
R197831,R944870
R798027,R681583
R635462,R323424
R407689,R917749
R242714,R762258
R172656,R385293
R762494,R484894
R900065,R681658
R192160,R622004
R181362,R969902
R664522,R803290
R132665,R968428
R683440,R138897
R877600,R824184
R486136,R556893
R870007,R884371
R661382,R674236
R617345,R320706
R156988,R497393
R270461,R969915
R510465,R692336
R350252,R298462
R465423,R537054
R524774,R310817
R142229,R777097
R447063,R929739
R344297,R288280
R749982,R758453
R899268,R976740
R937109,R565554
R481032,R607061
R350893,R989597
R187140,R508504
R281041,R588982
R200941,R237570
R309411,R134543
R511072,R652335
R992523,R937626
R697006,R823932
R767984,R755739
R783677,R814263
R600089,R523242
R475953,R922121
R831249,R525718
R866826,R317580
R463469,R992693
R718420,R639095
R848769,R129977
R800946,R292816
R297394,R799704
R417532,R670722
R381917,R107272
R640453,R934691
R350291,R944301
R855140,R142063
R602959,R554848
R407776,R521720
R703368,R306420
R672839,R154483
R925617,R824674
R302024,R452598
R832652,R918962
R935755,R497080
R179207,R627874
R819008,R319475
R595592,R551914
R113575,R898743
R930677,R152501
R702942,R111232
R457365,R467270
R363936,R500781
R213102,R211351
R740722,R377936
R907515,R909261
R752948,R513537
R548817,R854543
R724973,R554045
R997912,R930057
R243608,R538791
R460854,R853473
R498555,R210445
R954269,R627958
R201758,R318660
R709502,R490386
R535200,R271519
R906695,R144454
R992300,R592048
R878721,R534946
R481206,R909084
R107735,R786252
R733470,R271457
R227312,R568292
R201053,R290116
R199814,R706694
R644934,R952075
R996732,R974224
R258432,R850678
R858123,R707745
R374802,R523152
R734525,R889061
R245616,R980768
R142163,R707692
R295820,R521278
R766263,R658503
R507066,R286881
R419616,R327503
R622808,R117877
R191038,R940269
R171105,R379120
R833622,R135377
R602781,R870318
R106208,R791031
R817227,R528089
R239029,R295225
R387513,R199861
R806972,R853772
R211529,R156595
R956297,R953027
R411860,R516437
R361574,R828328
R841250,R438023
R990010,R278581
R804863,R107801
R205895,R763953
R551174,R193384
R290089,R278949
R458248,R799032
R932897,R842695
R223332,R446573
R205194,R113401
R360995,R451502
R350186,R798742
R365400,R171280
R495078,R989905
R917739,R790908
R914427,R500751
R211069,R601029
R600925,R636749
R981133,R981765
R400243,R506961
R527133,R370802
R684824,R922164
R606654,R720796
R253846,R947403
R231985,R797914
R399043,R185021
R824200,R364311
R183754,R401790
R616818,R169187
R995108,R464554
R632054,R493643
R510583,R530891
R566693,R926630
R312995,R655422
R183437,R352967
R625219,R514581
R236809,R867256
R520497,R786560
R478951,R928976
R545106,R779810
R159817,R785922
R694300,R803763
R998569,R900606
R207629,R750010
R357788,R727911
R162434,R887001
R814268,R955282
R810117,R752666
R653325,R912388
R152913,R938780
R363776,R305342
R373599,R625715
R223514,R487748
R950807,R121778
R253582,R808523
R714470,R651725
R743401,R412932
R721423,R288022
R733990,R127474
R640926,R201252
R208929,R530021
R606138,R127238
R781748,R282941
R829908,R942339
R867277,R612623
R614175,R247355
